id,title_fa,Rate,Rate_cnt,Category1,Category2,Brand,Price,Seller,Is_Fake,min_price_last_month,sub_category
10274086,عینک آفتابی میباخ مدل N2001- dod,56,4,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,میباخ,5390000,فروشگاه آرکوشپ,False,0,clothe
10933450,عینک آفتابی مدل 628 - B,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5150000,فروشگاه آرکوشپ,True,0,clothe
11101517,عینک آفتابی مارک جکوبس مدل Jh87,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مارک جکوبس,5660000,ارکان شاپ,False,0,clothe
12021649,عینک آفتابی سیکس مدل 326867,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,سیکس,5841000,فامو دیزاین,False,0,clothe
11556159,عینک آفتابی مدل 9683 - Ft-a-gsr-k,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5400000,فروشگاه آرکوشپ,True,0,clothe
11944740,عینک شب مدل R2414bl,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5250000,عینک دونی,False,0,clothe
9600998,عینک آفتابی مدل B2776,20,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5525000,ترند اپتیک,True,0,clothe
12040250,عینک آفتابی مدل 326610,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5750000,مدیالندز,False,0,clothe
9908549,عینک آفتابی  مدل 125C2-BL,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5200000,اوپال اوپتیک,True,0,clothe
10792126,عینک آفتابی اسپیریت مدل p00101 c2,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5854000,دیجی‌کالا,False,0,clothe
11164381,عینک آفتابی لاو ور مدل Po998,100,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,لاو ور,5500000,ارکان شاپ,False,0,clothe
11555785,عینک آفتابی مدل 9683 - Fm-ad,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5490000,فروشگاه آرکوشپ,True,0,clothe
10789019,عینک آفتابی اسپیریت مدل p00080 c4,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,0,clothe
11172131,عینک آفتابی مدل ML6011 Semi Transparent Obisidian,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5800000,اُپتیک اِستور,False,0,clothe
10789019,عینک آفتابی اسپیریت مدل p00080 c4,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5725000,دیجی‌کالا,False,0,clothe
9600943,عینک آفتابی مدل B2776,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5525000,ترند اپتیک,True,0,clothe
10793549,عینک آفتابی مانگو مدل m3502 c5,20,1,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مانگو,5725000,دیجی‌کالا,False,0,clothe
12231761,عینک آفتابی مدل RB2186 - M,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5400000,فروشگاه آرکوشپ,True,0,clothe
4645617,عینک آفتابی کد E_013,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5382000,میلادی بازرگانی,True,0,clothe
11556234,عینک آفتابی مدل 9683 - Ft-adg-por,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5485000,فروشگاه آرکوشپ,True,0,clothe
10946164,عینک آفتابی مدل P1002,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5110000,فروشگاه آرکوشپ,True,0,clothe
11594884,عینک آفتابی مدل ML6010 Onyx Contrast,100,2,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,متفرقه,5700000,اُپتیک اِستور,False,5500000,clothe
10681006,عینک آفتابی لاگوست مدل 2174 POLARIZED,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,لاگوست,5850000,ترند اپتیک,False,0,clothe
10792210,عینک آفتابی مانگو مدل m3523 c11,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,مانگو,5725000,دیجی‌کالا,False,0,clothe
10788966,عینک آفتابی اسپیریت مدل p00015 c2,0,0,اکسسوری زنانه و مردانه,عینک زنانه و مردانه,اسپیریت,5371000,دیجی‌کالا,False,5158000,clothe
